bucket_name_dev,bucket_name_prod,technical_owner_dev,business_owner_dev,technical_owner_prod,business_owner_prod
aperture-aws-ec2-and-038374183314,aperture-aws-ec2-and-504627477299,Cyber Security,Stewart Wolfe,cyber_security,Stewart Wolfe 
aws-ai-svc-dev,aws-ai-svc-prod,Engineering,Jack Hsu,,Jack Hsu
aws-athena-query-results-761361480551-us-east-1,aws-athena-query-results-504627477299-us-east-1,DataEng,DataEng,data_engineering,
aws-athena-query-results-038374183314-us-west-2,aws-athena-query-results-504627477299-us-west-2,DataEng,DataEng,data_engineering,
pf-database-updater,aws-database-backups,,,,
pf-database-updater,aws-database-backups-ia,,,,
aws-glue-scripts-038374183314-us-west-1,aws-glue-scripts-504627477299-us-west-1,,,,
aws-glue-temporary-038374183314-us-west-1,aws-glue-temporary-504627477299-us-west-1,,,,
aws-logs-038374183314-us-west-1,aws-logs-504627477299-us-west-1,,,,
dev-risk,aws-risk-data,,,,
oportun-bitbucket-backups,aws-system-backups,Shared Services,Walter Ferreira,,
business-app-support-dev,business-app-support,BAS,Joshua Chamberlain,,
oportun.rwc-security-logging-2,c-security,Cyber Security,Gene Sexton,cyber_security,Stewart Wolfe
oportun.rwc-security-logging-2,c-security-oregon,Cyber Security,Gene Sexton,,
pf-aws-dev-s3-logs-us-standard,c-security-us-standard,,,,
cf-templates-1bw7tqgfwbdg6-us-east-1,cf-templates-1s7q0m8zhej2w-us-east-1,,Andrew Cornell co-owner if users manually upload to cloud formation,,
cf-templates-1bw7tqgfwbdg6-us-west-1,cf-templates-1s7q0m8zhej2w-us-west-1,,Andrew Cornell co-owner if users manually upload to cloud formation,,
cf-templates-1jr3otamhkgvm-us-west-2,cf-templates-1s7q0m8zhej2w-us-west-2,DevOps,DevOps,,
pf-aws-dev-s3-logs-us-west-2,cloudability-pf-2,,,,
test-s3bucket-atodqjj21zlb,continuentredshift-s3bucket,,,,
oportun-asset-sales-data-engineering-qa1,data-engineering-public-drop-box,,,,
data-lake-oportun-dynamo-s3,data-lake-oprt-dev-97-us-east-1,,,,
data-platform-aux-dev,data-platform-aux-production,Data Engineering,,data_engineering,
data-dev-data-platform,data-platform-dfs-archive,Data Engineering,Luis Casillas,data_engineering,
data-dev-data-platform,data-platform-production,Data Engineering,Luis Casillas,data_engineering,
data-science-oportun,data-science-oportun-prod,,,,
pf-database-updater,database-audit-logs,,,,
dba-dev-database-archives,dba-database-archives,,,database_services,Andrew Clark
oportun-import-bucket,five9-bucket-repo,,,Telephony,Mario Rodriguez
oportun-telephony,five9-telephony-data,,,,
juno-qa,juno-encrypted,,,Telephony,Mario Rodriguez
oportun.rwc-engineering-measuredsearch-001,measuredsearch-prod2-logs,,,,
newrelic-synthetics-private-minion,newrelic-synthetics-private-minion-prod,,,,
pf-aws-binary-repo,op-callcenter-repo,DevOps,DevOps,Telephony,Mario Rodriguez
pf-aws-prod,op-prod-pledge-file,,,Analytics,
op-qa-aal-delivery-status,op-stage-aal-delivery-status,Engineering,narasiman.ramamoorthy@oportun.comnishant.sonone@oportun.comram.ramaswamy@oportun.com,,
oportun-telephony,oportun,,,,
qa4-app-risk-credit-profiles,oportun-analytics-credit-report,,,,
oportun-asset-sales-data-engineering-qa1,oportun-asset-sales-collections-analytics,,,Collections,
oportun-asset-sales-data-engineering-qa1,oportun-asset-sales-data-engineering,,,Collections,
oportun-asset-sales-data-engineering-qa1,oportun-asset-sales-transfer,,,,
oportun-auto-loans-stage,oportun-auto-loans-prod-us-west-1,,,Engineering,
oportun-auto-loans-stage,oportun-auto-loans-stage-us-west-1,,,Engineering,
oportun-auto-loans-stage,oportun-auto-prod,,,Engineering,
dev-oportun-aws-config,oportun-aws-config,Devops,devops@oportun.com,,
oportun-qa-west-2-vpc-portshift-poc-flowlog-us-west-2,oportun-cloudwatch-prod2-vpc-flowlog,,,,
oportun-collection-service-qa11,oportun-collection-service-prod,ZEUS application development teams,Engineering,LegalEngineering,Collection Analytics
data-science-oportun,oportun-data-telesales,,,,
dba-dev-database-archives,oportun-database-archives,,,data_engineering,
dba-dev-database-archives,oportun-dba-store,,,,
oportun-drift-detector-build,oportun-drift-detector-prod,,,,
oportun-five9-reports-qa9,oportun-five9-reports-prod,,,EngineeringJack Hsu,
oportun-dev-jenkins-backup,oportun-galileo-rdf-backup,,,,
oportun-kronos-logs-sftp2s3-dev,oportun-kronos-logs-sftp2s3-prod,,,,
oportun-telephony,oportun-list-legal-collections,,,Collections,Collection Analytics
aws-logs-038374183314-us-east-1,oportun-list-legal-collections-us-east-1,,,,
oportun.rwc-engineering-measuredsearch-001,oportun-measuredsearch,,,,
oportun-dev-alb-logs,oportun-prod-alb-logs,,,,
oportun-dev-alb-logs-us-west-2,oportun-prod-alb-logs-us-west-2,,,,
oportun-prod-template-storage,oportun-prod-all-template-storage,Origination,Origination,Engineering,
oportun-prod-template-storage,oportun-prod-analytics,Origination,Origination,,Barbara Klingler
oportun-prod-template-storage,oportun-prod-app-leads,Origination,Origination,EngineeringNavdeep Grover,Barbara Klingler
oportun-qa11-app-leads-archive,oportun-prod-app-leads-archive,ZEUS application development teams,Engineering,EngineeringNavdeep Grover,Barbara Klingler
oportun-prod-template-storage,oportun-prod-cdn-logs,Origination,Origination,,
oportun-prod-template-storage,oportun-prod-datarestricted,Origination,Origination,,
oportun-prod-template-storage,oportun-prod-db-logs,Origination,Origination,Data Science,
aws-logs-038374183314-us-west-1,oportun-prod-db-logs-us-west-1,,,data_engineering,
oportun-dev-devops-us-west-1,oportun-prod-devops-us-west-1,,,,
oportun-dev-devops-us-west-2,oportun-prod-devops-us-west-2,,,,
oportun-dev-elb-logs,oportun-prod-elb-logs,DevOps,DevOps,,
aws-logs-038374183314-us-east-1,oportun-prod-elb-logs-us-east-1,,,,
oportun-build-elb-logs-us-west-2,oportun-prod-elb-logs-us-west-2,,,,
oportun-vpc-flow-logs-us-west-2,oportun-prod-flow-logs-us-west-2,,,,
oportun-dev-jenkins-backup,oportun-prod-jenkins-backup,,,,
oportun-dev-jenkins-backup,oportun-prod-jenkins-backup-us-east-1,,,,
oportun-qa-leads-load-glue,oportun-prod-leads-load-glue,,,,
oportun-prod-template-storage,oportun-prod-logs,Origination,Origination,,
oportun-prod-template-storage,oportun-prod-logs-copy,Origination,Origination,,
aws-logs-038374183314-us-east-1,oportun-prod-logs-us-east-1,,,,
oportun-prod-template-storage,oportun-prod-ofac,Origination,Origination,,
oportun-prod-template-storage,oportun-prod-risk-analytics,Origination,Origination,Risk Analytics,
oportun-prod-template-storage,oportun-prod-sigsci-logs,Origination,Origination,,
oportun-prod-template-storage,oportun-prod-template-storage,Origination,Origination,EngineeringKushal Chaterjee,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-prod-workday-restricted,Servicing,Karuna Kandagatla or Jessica Velazquez,,
oportun-prod-template-storage,oportun-prometheus-prod,Origination,Origination,devops@oportun.com,
oportun-five9-reports-qa9,oportun-re-reports,,,Engineering,
oportun-telephony,oportun-retail-icp-approval,,,Analytics,
oportun-telephony,oportun-retail-icp-review,,,Analytics,
oportun-telephony,oportun-retail-icp-source,,,Analytics,
dev-risk,oportun-risk-secure,,,,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-1-usw2-confidential-path-backup,Servicing,Karuna Kandagatla or Jessica Velazquez,,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-use1-restricted-spectrumautopaymentsdue,Servicing,Karuna Kandagatla or Jessica Velazquez,Engineering - Servicing,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-use1-restricted-veeam-o365-backup,Servicing,Karuna Kandagatla or Jessica Velazquez,Collaboration Team,
oportun-prod-template-storage,oportun-s3-prod-usea1-confidential-repossessionlettertemplates,Origination,Origination,Engineering,
oportun-s3-qa-usw1-public-creditcard,oportun-s3-prod-usw1-confidential-paynearme-paymentreceipts,Data Engineering,Data Engineering (Aniket Mayakal),Engineeering,
oportun-s3-qa-usw1-public-creditcard,oportun-s3-prod-usw1-public-all,Data Engineering,Data Engineering (Aniket Mayakal),Oportun All,
oportun-s3-dev-usw1-restricted-dmbi-operations-ocm,oportun-s3-prod-usw1-restricted-auto-letter,Data Management,Samir Pal,Engineering,
oportun-s3-qa-usw1-public-creditcard,oportun-s3-prod-usw1-restricted-creditcard,Data Engineering,Data Engineering (Aniket Mayakal),data_engineering,
oportun-s3-qa-usw1-public-creditcard,oportun-s3-prod-usw1-restricted-creditcard,Data Engineering,Data Engineering (Aniket Mayakal),data_engineering,
oportun-s3-dev-usw1-restricted-dmbi-operations-ocm,oportun-s3-prod-usw1-restricted-dmbi-operations-ocm,Data Management,Samir Pal,Data Management,
oportun-s3-dev-usw1-restricted-dmbi-operations-ocm,oportun-s3-prod-usw1-restricted-juno-pci,Data Management,Samir Pal,,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-confidential-repossessionlettertemplates,Servicing,Karuna Kandagatla or Jessica Velazquez,Engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-confidential-wordpress-logs,Servicing,Karuna Kandagatla or Jessica Velazquez,SecEng,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-creditcard,Servicing,Karuna Kandagatla or Jessica Velazquez,Engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-de-intermediate,Servicing,Karuna Kandagatla or Jessica Velazquez,Engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-digitalmarketing,Servicing,Karuna Kandagatla or Jessica Velazquez,,Barbara Klingler
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-dev-usw2-restricted-digitalmarketing,Servicing,Karuna Kandagatla or Jessica Velazquez,,Barbara Klingler
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-five9-pci,Servicing,Karuna Kandagatla or Jessica Velazquez,data_engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-goidevents,Servicing,Karuna Kandagatla or Jessica Velazquez,data_engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-juno-pci,Servicing,Karuna Kandagatla or Jessica Velazquez,,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-prod-usw2-restricted-spectrumautopaymentsdue,Servicing,Karuna Kandagatla or Jessica Velazquez,Engineering - Servicing,
oportun-s3-qa-usw1-public-creditcard,oportun-s3-stage-usw1-confidential-paynearme-paymentreceipts,Data Engineering,Data Engineering (Aniket Mayakal),Engineering,
oportun-s3-qa-usw1-public-creditcard,oportun-s3-stage-usw1-restricted-creditcard,Data Engineering,Data Engineering (Aniket Mayakal),data_engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-stage-usw2-restricted-creditcard,Servicing,Karuna Kandagatla or Jessica Velazquez,data_engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-stage-usw2-restricted-goidevents,Servicing,Karuna Kandagatla or Jessica Velazquez,data_engineering,
oportun-s3-dev-usw2-restricted-spectrumautopaymentsdue,oportun-s3-stage-usw2-restricted-spectrumautopaymentsdue,Servicing,Karuna Kandagatla or Jessica Velazquez,Engineering - Servicing,
oportun-telephony,oportun-secure-container-datastore-a,,,,
qa4-app-risk-credit-profiles,oportun-secure-credit-manager,,,,
dev-risk,oportun-secure-risk,,,Engineering Mark Wong,
